Relatório do grupo de anúncios
9 de junho de 2026 - 20 de junho de 2026
Status do grupo de anúncios,Grupo de anúncios,Status,Motivos do status,Código da moeda,CPA desejado,Conversões,Código da moeda,Custo / conv.,Tipo de grupo de anúncios,Cliques,Impr.,CTR,CPC méd.,Custo,Inclusões de marca,Locais de interesse,Taxa de conv.
Ativado,Descoberta,Qualificado,,BRL, --,"0,00",BRL,"0,00",Padrão,0,0, --,0,"0,00",[],[],"0,00%"
Ativado,Leads para advogado,Qualificado,,BRL, --,"0,00",BRL,"0,00",Padrão,0,0, --,0,"0,00",[],[],"0,00%"
Ativado,Grupo de anúncios 1,Qualificado,desconhecido,BRL, --,"1,00",BRL,"125,71",Padrão,8,36,"22,22%","15,71","125,71",[],[],"12,50%"
Ativado,Marca,Qualificado,,BRL, --,"0,00",BRL,"0,00",Padrão,0,0, --,0,"0,00",[],[],"0,00%"
Ativado,Alienacao fiduciaria imovel,Qualificado,,BRL, --,"0,00",BRL,"0,00",Padrão,0,0, --,0,"0,00",[],[],"0,00%"
Ativado,Concorrente,Qualificado,,BRL, --,"0,00",BRL,"0,00",Padrão,0,0, --,0,"0,00",[],[],"0,00%"
Ativado,Marketing juridico,Qualificado,,BRL, --,"0,00",BRL,"0,00",Padrão,0,0, --,0,"0,00",[],[],"0,00%"
Ativado,Execucao extrajudicial,Qualificado,,BRL, --,"0,00",BRL,"0,00",Padrão,0,0, --,0,"0,00",[],[],"0,00%"
Ativado,Financiamento imobiliario,Qualificado,,BRL, --,"0,00",BRL,"0,00",Padrão,0,0, --,0,"0,00",[],[],"0,00%"
Ativado,Leilao imovel,Qualificado,,BRL, --,"0,00",BRL,"0,00",Padrão,0,0, --,0,"0,00",[],[],"0,00%"
Ativado,Direito imobiliario,Qualificado,,BRL, --,"0,00",BRL,"0,00",Padrão,0,0, --,0,"0,00",[],[],"0,00%"
Ativado,Captacao de clientes,Qualificado,,BRL, --,"0,00",BRL,"0,00",Padrão,0,0, --,0,"0,00",[],[],"0,00%"
Total: Grupos de anúncios,,,,,,"1,00",BRL,"125,71",,8,36,"22,22%","15,71","125,71",,,"12,50%"
Total: Campanha,,,,,,"1,00",BRL,"125,71",,8,36,"22,22%","15,71","125,71",,,"12,50%"
